Product Name,Price,Description,Image URLs,Product URL,In House Label,Categories,Category Rankings
200mg of Zen 60 Count,$45.00 USD,"L-theanine and GABA for Relaxation
200mg of Zen from Allergy Research helps promote natural relaxation through a combination of L-theanine and GABA.
Trying to balance home, work and play, can be so stressful that it is hard to relax, undermining our ability to focus, sleep or even think clearly. The good news is that there is a way to help you relax - naturally. It is 200mg Zen from Allergy Research.
All-natural ingredients include:
L-theanine, found in green tea (Camellia sinensis) to help support the production of alpha-wave activity in the brain. Alpha-waves are involved in helping to reduce anxiety while promoting increased mental alertness and acuity.
GABA is a major inhibitory neurotransmitter that is critical support for normal brain function.
Other Ingredients:
Hydroxypropyl methylcellulose, cellulose, L-leucine.
Warning:
Contraindicated with drugs or use only under the supervision of a healthcare practitioner. If you are pregnant or nursing, please consult your healthcare professional before using this product. Keep out of the reach of children.",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/zen60.jpg; https://wellnessshoppes.com/cdn/shop/products/zening.png; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/200mg-of-zen-60-count,False,"['Mind', 'Body']","['Mind', 'Body']"
7 Keto Dhea 100mg,$38.00 USD,"7-Keto® DHEA is a naturally-occurring metabolite of DHEA that does not metabolize into sex hormones, but can still provide many of the same benefits of DHEA, and without its associated side effects. 7-Keto® DHEA promotes fatty acid and carbohydrate metabolism.* 7-Keto® DHEA, levels of which decline with age, promotes a normal metabolic rate and healthy body mass index.",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/files/keto.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/7-keto-dhea-100mg,True,['Body'],['Body']
A-C Carbamide 90 Ct,$35.00 USD,"A-C Carbamide is involved in the healthy creation and excretion of urine.*
Involved in the healthy formation and excretion of urine*
Involved in healthy fluid levels*
Supports healthy urinary system function*
Involved in healthy cellular fluid levels*
Excellent source of vitamin A and antioxidant vitamin C",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/accarbamide.jpg; https://wellnessshoppes.com/cdn/shop/products/0625-A-C-Carbamide-R12-Supplement-Facts-Label_png.png; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/a-c-carbamide-90-ct,False,['Body'],['Body']
Adrena-Purr,$35.00 USD,"Clinical Applications
Supports the Body’s Response to Stress
†
Supports Energy Production and Metabolic Function
†
Adrena-Purr
pairs glandulars with targeted nutrients to support the body’s response to everyday stressors. Among the comprehensive blend of nutrients are high-potency pantothenic acid and vitamin C, activated B vitamins, and mineral amino acid chelates. Gland and organ tissues are derived from an Argentinian bovine source that ensures safety and purity.
*",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/adrenapurr.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/adrena-purr,True,['Spirit'],['Spirit']
Adrenal Balance,$22.00 USD,"Adrenal Balance pairs glandulars with targeted nutrients to support the body’s response to everyday stressors. Among the comprehensive blend of nutrients are high-potency pantothenic acid and vitamin C, activated B vitamins, and mineral amino acid chelates. Gland and organ tissues are derived from an Argentinian bovine source that ensures safety and purity.*
• Supports the Body’s Response to Stress*
• Supports Energy Production and Metabolic Function*
Supplement Facts
Serving Size: 2 Capsules
Amount Per Serving %DV
Vitamin C (ascorbic acid) 175 mg 292%
Riboflavin (as riboflavin 5’-phosphate sodium) 15 mg 882%
Niacin (as niacinamide) 15 mg 75%
Vitamin B6 (as pyridoxal 5’-phosphate) 10 mg 500%
Pantothenic Acid (as d-calcium pantothenate) 105 mg 1050%
Magnesium (as magnesium citrate) 45 mg 11%
Zinc (as TRAACS® zinc bisgylcinate chelate) 5 mg 33%
Chromium (as TRAACS® chromium nicotinate glycinate chelate) 50 mcg 42%
Potassium (as potassium glycinate complex) 2 mg <1%
Lemon Bioflavonoid Complex (Citrus × limon)(fruit peel) 225 mg **
L-Tyrosine 175 mg ** Parotid (from bovine)(Argentina) 80 mg **
Thymus (from bovine)(Argentina) 70 mg **
Chlorella (Chlorella vulgaris) 50 mg **
Adrenal Gland (from bovine)(Argentina) 25 mg **
Rhodiola (Rhodiola rosea)(root) 25 mg **
Spleen (from bovine)(Argentina) 20 mg **
Grape Extract (Vitis vinifera)(seed)(95% proanthocyanidins) 1 mg ** **
Daily Value (DV) not established.",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/adrenalbalance.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/adrenal-balance,True,['Spirit'],['Spirit']
All Season Support,$40.00 USD,"All Season Support
90 count Tablets
Allergy Support
Over 30 million Americans suffer from seasonal discomfort or another allergy that affects the respiratory system. This is primarily caused by the hypersensitivity of the immune system toward environmental allergens such as pollen, animal dander, dust, and mold. The key to solving the hypersensitivity is to deactivate or reduce the body’s over-reaction to the foreign compounds before significant discomfort arises. All Season Support is a powerful and comprehensive blend of nutrients and botanicals that is capable of helping to normalize the body’s response to environmental “debris”.
†
This response involves helping to support the normal, healthy release of biochemicals that cause inflammation, and other symptoms associated with allergies and exposure to environmental allergens.
†
(Formerly Aller-7™ Support)
Features
All Season Support has Seasonal Seven Comfort Blend (660mg)*, a proprietary blend of Amla (Emblica officinalis) Fruit Extract, Chebulic Myrobalan, (Terminalia chebula) Fruit Extract, Beleric Myrobalan (Terminalia bellirica) Fruit Extract, Astragalus (Astragalus membranaceus) Root, Ginger Root, Reishi Mushroom, and Black Pepper Fruit.
Contains 1500mg /day of OptiMSM™, the purest MSM available.
All Season Support features Stinging Nettle (200mg), Quercetin (300mg), and Bromelain (25mg).
All Season Support also contains Vitamin C (100mg), Turmeric (50mg), Ginger (35mg), and Feverfew (25mg).
All Season Support is a formula with over 10 years of proven results.
VitaBerry® Organic Fruit Blend (Organic Strawberry, Organic Blueberry, Organic Raspberry, Organic Tart Cherry, Organic Pomegranate, and Organic Cranberry.)
Benefits
All Season Support supports normal respiratory function in the presence of airborne allergens.
†
All Season Support promotes clear airway passages and supports normal, healthy breathing.
†
Helps to maintain a normal, healthy immune response.
†
VitaBerry® Organic Fruit Blend provides highly concentrated phytonutrients, a high ORAC value, and is Certified Organic.
†
Bromelain helps supports a normal, healthy response to inflammation.
†
Quercetin has been shown to support the normal, healthy release of histamine.
†
Stinging nettles help stabilize the release of histamine from mast cells and support the normal, healthy production of prostaglandins; hormone-like compounds involved in inflammation.
†",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/allseasonsupport.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/all-season-support,True,['Body'],['Body']
ALLERGY BHI,$17.00 USD,"Homeopathic. Homeopathic allergy support – Fast, non-drowsy relief of multiple allergy symptoms. Powerful formula is made of 15 active ingredients to relieve runny nose, sneezing, itchy watery eyes, congestion and mild skin rashes and hives.†
• Multiple symptom relief – Homeopathic dilutions of Histamine, Selenium and Sulphur provide relief from a variety of indoor and outdoor allergy symptoms, in any region.†
• Homeopathic approach – Homeopathy treats symptoms with a micro-dose of an active ingredient to stimulate the body’s own defenses. MediNatura's approach combines multiple potent actives, in multiple concentrations for greater relief of more symptoms.
• Safe, effective relief – All BHI tablets have no known interactions with other medicines or supplements and are non-addictive.
• Quick dissolve tablets – Easy to use, dissolvable tablets for fast, convenient relief whenever symptoms start. This safe formula can be taken daily, or as needed during symptom flare ups.",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/bhiallergy.jpg; https://wellnessshoppes.com/cdn/shop/products/AllergyBHI.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/allergy-bhi,True,[],[]
Alpha Lipoic Acid 250mg,$32.00 USD,"Alpha lipoic acid (ALA) is naturally produced in the human body in very small amounts, but is also available through food sources. ALA is unique because it supports the body's free radical scavenging systems and can function in both water and fat environments.* ALA can also recycle the antioxidant vitamins C and E, thereby extending their activities.*",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/alphalipoicacid.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/alpha-lipoic-acid-250mg,True,[],[]
Arousal Restore Formula,$34.00 USD,"Libido-F (Female), 60 liquid-filled capsules
A healthy libido is vital to an optimal quality of life and is an important part of a healthy relationship. Libido – F* helps restore sexual desire in women, whether it has become temporarily lessened or altogether lost.* With Maca, Damiana, and Sarsaparilla, this formula works to tonify the female reproductive tract and normalize arousal and desire.*
Supplement Facts
Serving Size: 1 capsule
Servings Per Container: 60
Amount Per 2 Capsules:
Alcohol-Free Concentrated Extracts of:
Suma root (Pfaffia paniculata) (Ecologically Wildcrafted) 75 mg
Chuchuhuasi bark (Maytenus macrocarpa) (Ecologically Wildcrafted) 45 mg
Tribulus (Tribulus terrestris) (Untreated Chinese origin) 42 mg
Damiana leaf (Turnera diffusa) (Ecologically Wildcrafted) 39 mg
Sarsaparilla rhizome (Smilax spp.) (Ecologically Wildcrafted) 39 mg
Horny Goat Weed (Epimedium grandiflorum) (Ecologically Wildcrafted) 39 mg
Wild Oats milky seed (Avena sativa) (Organic ingredient) 24 mg
Ginger rhizome, Supercritical CO2 Extract (Ecologically Wildcrafted) 12 mg
Blue Vervain (Verbena hastata) (Ecologically Cultivated) 12 mg
Standardized To Full Spectrum Activity Profile
Bioactivity Per 2 Capsules
Other ingredients: Vegetable glycerin, vegetable cellulose (capsule)
Each 2 capsules contain 3,000 mg crude herb equivalent
Liquid Phyto-Caps™ deliver a concentrated liquid herbal extract in a 100% vegetarian capsule. Manufactured exclusively by Gaia Herbs, Inc.
Contains no animal by-products and no gelatin
Tested FREE of Heavy Metal Toxicity",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/libidof.jpg; https://wellnessshoppes.com/cdn/shop/products/Libido-Fing.png; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/libido-f,False,['Body'],['Body']
B-Vital,$33.00 USD,"b-VITAL® is an all natural, patented formula, clinically demonstrated to augment testosterone levels in men. Testosterone plays a critical role in men's health, including cardiovascular health. Unfortunately, testosterone levels decline with age. b-Vital provides ""A Treasure from the Andes"", Peruvian Maca, used for centuries to restore balance and increase energy, combined with Velvet Deer Antler, harvested live (no need to destroy these awesome creatures) from American Elk. the many traditional uses of these adaptogenic compounds are due to their rich and diverse nutrient, chemical and phytochemical compositions. This statement has not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease.
Peruvian Maca (Lepidium meyenii) (root), Velvet deer antler (from living Elk).
Gelatin and water.",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/b-vital.jpg; https://wellnessshoppes.com/cdn/shop/products/b-vitaling.webp; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/b-vital,False,"['Body', 'Spirit']","['Body', 'Spirit']"
